tree,deathprob,exact_logL,approx_logL
4,0.46,-822.614411131361,-822.614411131361
4,0.47,-828.5568930381509,-828.5568930381509
4,0.48,-834.6331755729834,-834.6331755729834
4,0.49,-840.839609819467,-840.839609819467
4,0.50,-847.3778199314216,-847.3524342952109
5,0.00,-704.5581905714098,-703.1485342041791
5,0.01,-702.8630726147755,-701.6958629923332
5,0.02,-701.5839295472239,-700.5921025389177
5,0.03,-700.6427258252861,-699.788693675634
5,0.04,-699.9931755602792,-699.252610731739
5,0.05,-699.6043275987029,-698.9599812166294
5,0.06,-699.4539637718668,-698.8928081790104
5,0.07,-699.5253792457921,-699.0371071063382
5,0.08,-699.8056022985159,-699.3817636736235
5,0.09,-700.2843206535597,-699.9177917407715
5,0.10,-700.9531900349339,-700.6378307942596
5,0.11,-701.8053660129974,-701.5357885523151
5,0.12,-702.8351742354698,-702.6065822151229
5,0.13,-704.0378702777192,-703.845946229313
5,0.14,-705.4094599917113,-705.2502831740715
5,0.15,-706.946561909335,-706.8165492748889
5,0.16,-708.6462997660266,-708.5421622570477
5,0.17,-710.5062172618524,-710.4249273772557
5,0.18,-712.5242091468083,-712.4629771450186
5,0.19,-714.69846534743,-714.6547212736752
5,0.20,-717.0274248529115,-716.9988049568785
5,0.21,-719.5097377073034,-719.4940739078363
5,0.22,-722.1442334722143,-722.1395448000145
5,0.23,-724.9298951000167,-724.934380480618
5,0.24,-727.8658374848094,-727.877869260832
5,0.25,-730.9512898655294,-730.9694070841355
5,0.26,-734.1855818083819,-734.2084845719603
5,0.27,-737.5681322117683,-737.5946744801429
5,0.28,-741.098441048144,-741.127623570536
5,0.29,-744.7760835821365,-744.8070462677733
5,0.30,-748.6007067542022,-748.6327205107846
5,0.31,-752.5720275851477,-752.6044856741955
5,0.32,-756.6898333288343,-756.7222421756621
5,0.33,-760.953983275859,-760.9859533967563
5,0.34,-765.3644119220264,-765.3956481194975
5,0.35,-769.9211335703963,-769.9514253334778
5,0.36,-774.624248030824,-774.6534599121998
5,0.37,-779.4739474202099,-779.502009571861
5,0.38,-784.4705240106454,-784.4974229128729
5,0.39,-789.6143789352162,-789.6401485084023
5,0.40,-794.906031742963,-794.9307450137526
5,0.41,-800.3461308014923,-800.3698916849285
5,0.42,-805.9354643877807,-805.9584003207299
5,0.43,-811.674972572967,-811.6972280193116
5,0.44,-817.5657600669014,-817.5874903354998
5,0.45,-823.6091118658319,-823.6304777669524
5,0.46,-829.8065389776121,-829.8277021050245
5,0.47,-836.1617160565005,-836.1828378393037
5,0.48,-842.6702711339817,-842.6914983993075
5,0.49,-849.3407175752831,-849.3621964722996
5,0.50,-856.1733023962429,-856.195165311787
6,0.00,-647.8835550799789,-621.4447164595578
6,0.01,-627.0843009352091,-615.0569213545001
6,0.02,-621.0810112589883,-611.6420155421939
6,0.03,-617.2615001552668,-609.420808217834
6,0.04,-614.6112377621123,-607.9361380830176
6,0.05,-612.7470916562354,-606.9850454852761
6,0.06,-611.4732199037214,-606.4552123639045
6,0.07,-610.6728324469454,-606.2763462895001
6,0.08,-610.2693811496567,-606.4008504857615
6,0.09,-610.2093815791484,-606.7946879269641
6,0.10,-610.4537024948874,-607.4325303747219
6,0.11,-610.9727046932585,-608.2949558485689
6,0.12,-611.7433268352612,-609.3667220538024
6,0.13,-612.7472385454047,-610.6356473016607
6,0.14,-613.9696166211312,-612.091854669648
6,0.15,-615.398304021094,-613.7272437514835
6,0.16,-617.0232140855508,-615.5351106684625
6,0.17,-618.8358975236843,-617.509867912864
6,0.18,-620.8292207526911,-619.6468333654012
6,0.19,-622.997122444381,-621.9420684715049
6,0.20,-625.3344262923296,-624.3922521633017
6,0.21,-627.8366950517775,-626.9945813392317
6,0.22,-630.5001154768079,-629.7466914937506
6,0.23,-633.3214068282996,-632.6465929657202
6,0.24,-636.2977477073956,-635.6926195679118
6,0.25,-639.4267174180948,-638.8833872675333
6,0.26,-642.7062490856473,-642.2177612302296
6,0.27,-646.1345924841708,-645.694829993764
6,0.28,-649.710285039853,-649.3138858510617
6,0.29,-653.4321298299006,-653.0744107279843
6,0.30,-657.2991796303617,-656.9760669626598
6,0.31,-661.3107262077401,-661.0186924501451
6,0.32,-665.4662941257595,-665.2022996275223
6,0.33,-669.7656383733931,-669.527077759068
6,0.34,-674.2087451356011,-673.9933979576191
6,0.35,-678.7958350435794,-678.6018203635673
6,0.36,-683.5273682718303,-683.3531029102505
6,0.37,-688.404050904298,-688.2482111416722
6,0.38,-693.4268420740458,-693.2883286172
6,0.39,-698.5969614873283,-698.4748675341366
6,0.40,-703.9158970658341,-703.8094793145135
6,0.41,-709.3854125712184,-709.294065027475
6,0.42,-715.0075552149499,-714.9307856547408
6,0.43,-720.7846635571952,-720.7220725270058
6,0.44,-726.7193786612065,-726.6706413712432
6,0.45,-732.8146935700855,-732.7795534847062
6,0.46,-739.0744166817399,-739.0528122129936
6,0.47,-745.5083055364589,-745.5014134897308
6,0.48,-752.0748243696171,-752.0807428453171
6,0.49,-758.8712299499227,-758.8884433878059
6,0.50,-765.8250223744615,-765.8548987849489
7,0.00,-820.2550901313127,-820.2550901313127
7,0.01,-815.7787929243474,-815.7787929243474
7,0.02,-811.4178668266547,-811.4178668266547
7,0.03,-807.1767720468193,-807.1767720468193
7,0.04,-803.0601705649024,-803.0601705649024
7,0.05,-799.0729323139999,-799.0729323139999
7,0.06,-795.2201408492341,-795.2201408492341
7,0.07,-791.5070983698679,-791.5070983698679
7,0.08,-787.9393299466755,-787.9393299466755
7,0.09,-784.52258679342,-784.52258679342
7,0.10,-781.2628484085467,-781.2628484085467
7,0.11,-778.1663234014674,-778.1663234014674
7,0.12,-775.2394488074845,-775.2394488074845
7,0.13,-772.488887686987,-772.488887686987
7,0.14,-769.9215247985719,-769.9215247985719
7,0.15,-767.5444601326978,-767.5444601326978
7,0.16,-765.3650000928635,-765.3650000928635
7,0.17,-763.3906461154866,-763.3906461154866
7,0.18,-761.6290805278375,-761.6290805278375
7,0.19,-760.088149455436,-760.088149455436
7,0.20,-758.775842605658,-758.775842605658
7,0.21,-757.7002697717007,-757.7002697717007
7,0.22,-756.8696339184057,-756.8696339184057
7,0.23,-756.292200725595,-756.292200725595
7,0.24,-755.9762644711338,-755.9762644711338
7,0.25,-755.9301101292501,-755.9301101292501
7,0.26,-756.1619715328723,-756.1619715328723
7,0.27,-756.679985394341,-756.679985394341
7,0.28,-757.4921408891973,-757.4921408891973
7,0.29,-758.6062243764568,-758.6062243764568
7,0.30,-760.0297586524395,-760.0297586524395
7,0.31,-761.7699359159349,-761.7699359159349
7,0.32,-763.8335433716849,-763.8335433716849
7,0.33,-766.2268801433643,-766.2268801433643
7,0.34,-768.9556639568823,-768.9556639568823
7,0.35,-772.0249259769198,-772.0249259769198
7,0.36,-775.4388923730933,-775.4388923730933
7,0.37,-779.2008518592246,-779.2008518592246
7,0.38,-783.3130098480528,-783.3130098480528
7,0.39,-787.7763322569251,-787.7763322569251
7,0.40,-792.5903855333061,-792.5903855333061
7,0.41,-797.7531839762211,-797.7531839762211
7,0.42,-803.2610602194184,-803.2610602194184
7,0.43,-809.1085785008883,-809.1085785008883
7,0.44,-815.2885113389101,-815.2885113389101
7,0.45,-821.7918969137701,-821.7918969137701
7,0.46,-828.6081862875297,-828.6081862875297
7,0.47,-835.7254777250298,-835.7254777250298
7,0.48,-843.1308225640441,-843.1308225640441
7,0.49,-850.8105767544928,-850.8105767544928
7,0.50,-859.1640758876557,-859.1199253655456
8,0.00,-1029.711314899349,-983.2076351680678
8,0.01,-976.5671694599843,-949.569887663371
8,0.02,-948.6801519700759,-927.3539815523634
8,0.03,-927.3356280245247,-909.5083588857623
8,0.04,-909.6863971017614,-894.3358776780751
8,0.05,-894.5123975819002,-881.0591124012054
8,0.06,-881.1572520402273,-869.2457226851851
8,0.07,-869.2438882907064,-858.6115361566382
8,0.08,-858.5093822608791,-848.972936824193
8,0.09,-848.7762353687426,-840.1922792252839
8,0.10,-839.911415867819,-832.1658757104449
8,0.11,-831.8144794924252,-824.8104124541912
8,0.12,-824.4089977954263,-818.0750161852868
8,0.13,-817.6335382087747,-811.9059546437493
8,0.14,-811.4391399712788,-806.2617046977766
8,0.15,-805.7864478683196,-801.113091054807
8,0.16,-800.6432085879499,-796.4322857083698
8,0.17,-795.9830877295301,-792.1975194142731
