tree_id	rho	n_full	n_sampled	tree_full	tree_sampled
s15_c6	0.71	17	12	(((194_1:84,175_2:65):49,(216_1:97,(216_2:47,216_3:47):49):58):54,((((216_4:16,216_5:16):42,(216_6:13,216_7:13):45):44,(216_8:53,216_9:53):50):60,(((216_10:6,216_11:6):46,(216_12:13,216_13:13):39):53,((216_14:13,216_15:13):44,(216_16:1,216_17:1):56):48):57):45);	((((4_0201000021:16,5_0201000021:16):42,(6_0201000021:13,7_0201000021:13):45):44,(8_0100001012:53,9_0100001012:53):50):60,(((10_0102111000:6,11_0121201121:6):46,(12_0121201121:13,13_0121201121:13):39):53,(14_0100001000:13,15_0100001000:13):92):57);
s15_c7	0.97	30	29	(((((216_1:20,216_2:20):47,(216_3:13,216_4:13):54):51,((216_5:22,216_6:22):39,(216_7:15,216_8:15):46):57):43,(((216_9:9,216_10:9):54,(216_11:14,216_12:14):49):46,((216_13:18,216_14:18):45,(216_15:22,216_16:22):41):46):52):50,((216_17:124,((216_18:31,216_19:31):49,(216_20:38,216_21:38):42):42):48,((((216_22:1,216_23:1):42,216_24:44):39,(216_25:39,216_26:39):44):46,((216_27:42,216_28:42):41,(216_29:36,216_30:36):47):46):41):41);	(((((1_1111101001:20,2_1111001011:20):47,(3_1111001011:13,4_1111001011:13):54):51,((5_1111101000:22,6_1111001011:22):39,(7_1111101011:15,8_1111001011:15):46):57):43,(((9_1111001011:9,10_1111001000:9):54,(11_1111101001:14,12_1111001011:14):49):46,(14_1111001001:63,(15_1101001000:22,16_2100101000:22):41):46):52):50,((17_1110001011:124,((18_1101001211:31,19_1111001011:31):49,(20_1111001200:38,21_1111001200:38):42):42):48,((((22_1111001211:1,23_1111001211:1):42,24_1111001211:44):39,(25_2101101000:39,26_1111001211:39):44):46,((27_1111001011:42,28_2100001000:42):41,(29_2100001000:36,30_1111001011:36):47):46):41):41);
s15_c8	1	20	20	(((((216_1:0,216_2:0):49,(216_3:9,216_4:9):40):44,((216_5:0,216_6:0):43,(216_7:2,216_8:2):41):50):54,((216_9:49,(216_10:0,216_11:0):48):46,(216_12:44,216_13:44):51):53):50,((((216_14:7,216_15:7):40,(216_16:7,216_17:7):40):49,((216_18:3,216_19:3):44,216_20:48):49):51,(163_7:37,172_13:46):59):50);	(((((1_2122111121:0,2_2122111121:0):49,(3_2102111201:9,4_2122111121:9):40):44,((5_2112111201:0,6_2112111201:0):43,(7_2112111201:2,8_2112111201:2):41):50):54,((9_2112211221:49,(10_2112111221:0,11_2112111221:0):48):46,(12_2112111201:44,13_2112111201:44):51):53):50,(((14_1110001221:7,15_1110001221:7):40,(16_1110001201:7,17_1100001001:7):40):49,((18_1112111221:3,19_2102111000:3):44,20_1112011221:48):49):101);
s16_c1	0.81	26	21	((((216_1:60,216_2:60):47,(216_3:57,(216_4:0,216_5:0):56):50):57,(((216_6:9,216_7:9):52,(216_8:10,216_9:10):51):48,((216_10:0,216_11:0):51,(216_12:2,216_13:2):49):58):54):46,((((216_14:16,216_15:16):52,216_16:69):52,((216_17:13,216_18:13):54,(216_19:20,216_20:20):47):53):48,((216_21:55,216_22:55):55,((216_23:7,216_24:7):43,(216_25:6,216_26:6):44):59):59):41);	((1_2100101000:164,(((6_1111101020:9,7_1111001021:9):52,(8_1101001000:10,9_2101111000:10):51):48,((10_1112111002:0,11_2100001000:0):51,(12_1112011001:2,13_2102111000:2):49):58):54):46,((((14_1212011021:16,15_1211101021:16):52,16_2100101000:69):52,((17_0112211021:13,18_0112011021:13):54,(19_2100101221:20,20_1100201221:20):47):53):48,(21_1111001011:110,((23_1111001000:7,24_1111101011:7):43,(25_1111001011:6,26_1111001011:6):44):59):59):41);
s16_c2	0.67	9	6	((((216_1:33,216_2:33):55,(216_3:16,216_4:16):72):60,((216_5:45,216_6:45):50,(216_7:45,(216_8:0,216_9:0):44):50):53):52,(127_5:65,127_6:65):48);	(1_2100101000:148,((5_2102111021:45,6_2112111021:45):50,(7_2212110021:45,(8_2212110021:0,9_2212110021:0):44):50):53);
s16_c3	0.58	12	7	(((216_1:18,216_2:18):124,(216_3:38,216_4:38):104):60,((((216_5:11,216_6:11):46,(216_7:13,216_8:13):44):45,((216_9:21,216_10:21):37,(216_11:18,216_12:18):40):44):47,(168_7:54,170_7:56):49):51);	(((1_2100101000:18,2_2100101000:18):124,(3_1101001100:38,4_2100101000:38):104):60,(10_0102011000:58,(11_1112011021:18,12_1112011021:18):40):142);
s16_c4	0.9	10	9	(((216_1:64,216_2:64):58,((216_3:13,216_4:13):50,(216_5:12,216_6:12):51):58):51,(((216_7:21,216_8:21):44,(216_9:20,216_10:20):45):55,(214_11:32,214_12:32):87):52);	((1_2100101000:122,((3_2120101100:13,4_2120101100:13):50,(5_2120101120:12,6_2120101121:12):51):58):51,((7_0001200200:21,8_0001200200:21):44,(9_0011200200:20,10_0011200200:20):45):107);
s16_c5	1	10	10	((((216_1:13,216_2:13):54,(216_3:2,216_4:2):65):53,(206_4:53,208_4:55):58):55,((216_5:60,216_6:60):62,((216_7:3,216_8:3):46,(216_9:4,216_10:4):45):72):54);	(((1_0220002121:13,2_0220002121:13):54,(3_0220002121:2,4_0220002121:2):65):108,((5_2100101000:60,6_2100101000:60):62,((7_0102211221:3,8_0102211220:3):46,(9_0122211121:4,10_0122211121:4):45):72):54);
s16_c6	0.8	25	20	(((((216_1:2,216_2:2):36,(216_3:5,216_4:5):33):43,((216_5:1,216_6:1):36,216_7:38):44):55,(((216_8:2,216_9:2):38,216_10:41):46,((216_11:4,216_12:4):35,(216_13:2,216_14:2):37):47):50):51,(((216_15:34,216_16:34):45,(216_17:37,(216_18:1,216_19:1):35):42):56,((216_20:12,216_21:12):74,((216_22:7,216_23:7):32,(216_24:9,216_25:9):30):46):49):53);	((((1_2100101000:38,3_2100101000:38):43,(6_2100101000:37,7_2100101000:38):44):55,(((8_0002010221:2,9_0002010221:2):38,10_0002010221:41):46,((11_0002010220:4,12_0102010221:4):35,(13_0002010221:2,14_0002010221:2):37):47):50):51,(((15_0012012201:34,16_0012012201:34):45,(17_0012012201:37,18_0112011201:36):42):56,((20_0022012101:12,21_0022012101:12):74,((22_0012012201:7,23_0012012201:7):32,24_0012012201:39):46):49):53);
s16_c7	1	9	9	((((216_2:42,216_3:42):64,(216_4:43,216_5:43):63):64,((216_6:48,216_7:48):54,(216_8:41,216_9:41):61):68):42,(((212_1:38,216_1:42):66,193_3:86):65,106_2:65):39);	((((1_2101101201:42,2_0121201121:42):64,(3_2102111000:43,4_2102101000:43):63):64,((5_2100111000:48,6_0100001000:48):54,(7_2100101001:41,8_2100101001:41):61):68):42,9_0200000021:212);
