tree,deathprob,exact_logL,approx_logL
6,0.22,-56074.24166719065,-56069.86685527714
6,0.24,-56317.13729699147,-56315.06366105486
6,0.26,-56594.1401179571,-56593.684351087504
6,0.28,-56905.11165766652,-56905.73482065191
6,0.30,-57250.0296562638,-57251.316632041984
7,0.00,-56112.456600515165,-55904.745931691235
7,0.02,-55788.46890550958,-55643.14312445845
7,0.04,-55590.9286095812,-55482.6606138353
7,0.06,-55466.956004763575,-55385.0350292148
7,0.08,-55400.164799269936,-55338.05770748432
7,0.10,-55382.03381495987,-55335.22530761834
7,0.12,-55407.39244391561,-55372.54038753464
7,0.14,-55472.85683494095,-55447.383466594256
7,0.16,-55576.124410115226,-55557.988500257095
7,0.18,-55715.60308095811,-55703.162503898384
7,0.20,-55890.19495453275,-55882.11760325099
7,0.22,-56099.15983069445,-56094.36295324972
7,0.24,-56342.0233700188,-56339.63012675787
7,0.26,-56618.511815761165,-56617.81869534782
7,0.28,-56928.503289291286,-56928.954492121105
7,0.30,-57271.98989296699,-57273.15627645546
8,0.00,-56120.2252125081,-55919.31192023544
8,0.02,-55801.07081629534,-55659.584452713854
8,0.04,-55601.627005768336,-55495.89228841825
8,0.06,-55475.19539804946,-55395.159600412946
8,0.08,-55406.04305693068,-55345.4568628971
8,0.10,-55385.83956109096,-55340.31692204061
8,0.12,-55409.47405832651,-55375.73528563133
8,0.14,-55473.57462753635,-55449.072467001424
8,0.16,-55575.830000455484,-55558.539071030966
8,0.18,-55714.6288638215,-55702.91627744249
8,0.20,-55888.84771198354,-55881.38831038081
8,0.22,-56097.7162849253,-56093.434039184955
8,0.24,-56340.726813730056,-56338.75236149598
8,0.26,-56617.569405109905,-56617.2078055086
8,0.28,-56928.083703935656,-56928.78880038716
8,0.30,-57272.221091084655,-57273.57420704284
9,0.00,-55930.25697280075,-55728.7752356172
9,0.02,-55634.188356287785,-55491.84082910992
9,0.04,-55448.205417085985,-55341.81727131849
9,0.06,-55332.130492136646,-55251.576108583016
9,0.08,-55271.6293392917,-55210.62069115548
9,0.10,-55258.99088733726,-55213.12361838289
9,0.12,-55289.448051805455,-55255.43250277291
9,0.14,-55359.84255205677,-55335.124209738366
9,0.16,-55468.005179734675,-55450.551629515525
9,0.18,-55612.42324454713,-55600.59393371205
9,0.20,-55792.04349250475,-55784.50491285017
9,0.22,-56006.14620648866,-56001.81368326672
9,0.24,-56254.259733399886,-56252.25553809763
9,0.26,-56536.099379581996,-56535.721126426826
9,0.28,-56851.52178947793,-56852.21735711672
9,0.30,-57200.48969679524,-57201.836293722154
10,0.00,-56111.515451987776,-55884.23145586239
10,0.02,-55788.26052074622,-55630.48157466944
10,0.04,-55589.194357345106,-55471.47154366628
10,0.06,-55463.8990812145,-55374.6619829944
10,0.08,-55396.19900902811,-55328.408253327034
