tree,param,value,logL,method
6,deathprob,0.27,-634.0606724877653,bdmm
6,deathprob,0.28,-635.9755949061505,bdmm
6,deathprob,0.29,-637.989464260427,bdmm
6,deathprob,0.30,-640.1029837447583,bdmm
6,deathprob,0.31,-642.3167730630585,bdmm
6,deathprob,0.32,-644.6313664929517,bdmm
6,deathprob,0.33,-647.047211784448,bdmm
6,deathprob,0.34,-649.564669977492,bdmm
6,deathprob,0.35,-652.184016211802,bdmm
6,deathprob,0.36,-654.9054415890439,bdmm
6,deathprob,0.37,-657.7290561316995,bdmm
6,deathprob,0.38,-660.6548928655716,bdmm
6,deathprob,0.39,-663.682913034342,bdmm
6,deathprob,0.40,-666.8130124358038,bdmm
6,deathprob,0.41,-670.0450288511176,bdmm
6,deathprob,0.42,-673.3787505216336,bdmm
6,deathprob,0.43,-676.8139256132438,bdmm
6,deathprob,0.44,-680.3502725966771,bdmm
6,deathprob,0.45,-683.9874914642205,bdmm
6,deathprob,0.46,-687.7252756994626,bdmm
6,deathprob,0.47,-691.563324917136,bdmm
6,deathprob,0.48,-695.5013580950025,bdmm
6,deathprob,0.49,-699.5391273289331,bdmm
6,deathprob,0.50,-703.3696132115888,bdmm
11,lifetime,1.2,-833.3174712048707,bdmm
11,lifetime,1.4,-774.3669189190784,bdmm
11,lifetime,1.6,-732.5178485940172,bdmm
11,lifetime,1.8,-701.8276134880821,bdmm
11,lifetime,2.0,-678.7736733350122,bdmm
11,lifetime,2.2,-661.1431249903303,bdmm
11,lifetime,2.4,-647.4805806195156,bdmm
11,lifetime,2.6,-636.7926295899306,bdmm
11,lifetime,2.8,-628.3800312359034,bdmm
11,lifetime,3.0,-621.7377154357414,bdmm
11,lifetime,3.2,-616.4927346557254,bdmm
11,lifetime,3.4,-612.3644201167544,bdmm
11,lifetime,3.6,-609.1380289276303,bdmm
11,lifetime,3.8,-606.6468598686668,bdmm
11,lifetime,4.0,-604.7598386876562,bdmm
11,lifetime,4.2,-603.372725654282,bdmm
11,lifetime,4.4,-602.4017760848989,bdmm
11,lifetime,4.6,-601.7790954731188,bdmm
11,lifetime,4.8,-601.4491865334431,bdmm
